"id","true","output"
"1","1:setosa","1:setosa"
"2","1:setosa","1:setosa"
"3","1:setosa","1:setosa"
"4","1:setosa","1:setosa"
"5","1:setosa","1:setosa"
"6","1:setosa","1:setosa"
"7","1:setosa","1:setosa"
"8","1:setosa","1:setosa"
"9","1:setosa","1:setosa"
"10","1:setosa","1:setosa"
"11","1:setosa","1:setosa"
"12","1:setosa","1:setosa"
"13","1:setosa","1:setosa"
"14","1:setosa","1:setosa"
"15","1:setosa","1:setosa"
"16","1:setosa","1:setosa"
"17","1:setosa","1:setosa"
"18","1:setosa","1:setosa"
"19","1:setosa","1:setosa"
"20","1:setosa","1:setosa"
"21","1:setosa","1:setosa"
"22","1:setosa","1:setosa"
"23","1:setosa","1:setosa"
"24","1:setosa","1:setosa"
"25","1:setosa","1:setosa"
"26","1:setosa","1:setosa"
"27","1:setosa","1:setosa"
"28","1:setosa","1:setosa"
"29","1:setosa","1:setosa"
"30","1:setosa","1:setosa"
"31","1:setosa","1:setosa"
"32","1:setosa","1:setosa"
"33","1:setosa","1:setosa"
"34","1:setosa","1:setosa"
"35","1:setosa","1:setosa"
"36","1:setosa","1:setosa"
"37","1:setosa","1:setosa"
"38","1:setosa","1:setosa"
"39","1:setosa","1:setosa"
"40","1:setosa","1:setosa"
"41","1:setosa","1:setosa"
"42","1:setosa","2:versicolor"
"43","1:setosa","1:setosa"
"44","1:setosa","1:setosa"
"45","1:setosa","1:setosa"
"46","1:setosa","1:setosa"
"47","1:setosa","1:setosa"
"48","1:setosa","1:setosa"
"49","1:setosa","1:setosa"
"50","1:setosa","1:setosa"
"51","2:versicolor","3:virginica"
"52","2:versicolor","3:virginica"
"53","2:versicolor","3:virginica"
"54","2:versicolor","2:versicolor"
"55","2:versicolor","3:virginica"
"56","2:versicolor","2:versicolor"
"57","2:versicolor","2:versicolor"
"58","2:versicolor","2:versicolor"
"59","2:versicolor","3:virginica"
"60","2:versicolor","2:versicolor"
"61","2:versicolor","2:versicolor"
"62","2:versicolor","2:versicolor"
"63","2:versicolor","2:versicolor"
"64","2:versicolor","2:versicolor"
"65","2:versicolor","2:versicolor"
"66","2:versicolor","3:virginica"
"67","2:versicolor","2:versicolor"
"68","2:versicolor","2:versicolor"
"69","2:versicolor","3:virginica"
"70","2:versicolor","2:versicolor"
"71","2:versicolor","2:versicolor"
"72","2:versicolor","2:versicolor"
"73","2:versicolor","3:virginica"
"74","2:versicolor","2:versicolor"
"75","2:versicolor","3:virginica"
"76","2:versicolor","3:virginica"
"77","2:versicolor","3:virginica"
"78","2:versicolor","3:virginica"
"79","2:versicolor","2:versicolor"
"80","2:versicolor","2:versicolor"
"81","2:versicolor","2:versicolor"
"82","2:versicolor","2:versicolor"
"83","2:versicolor","2:versicolor"
"84","2:versicolor","2:versicolor"
"85","2:versicolor","2:versicolor"
"86","2:versicolor","2:versicolor"
"87","2:versicolor","3:virginica"
"88","2:versicolor","3:virginica"
"89","2:versicolor","2:versicolor"
"90","2:versicolor","2:versicolor"
"91","2:versicolor","2:versicolor"
"92","2:versicolor","2:versicolor"
"93","2:versicolor","2:versicolor"
"94","2:versicolor","2:versicolor"
"95","2:versicolor","2:versicolor"
"96","2:versicolor","2:versicolor"
"97","2:versicolor","2:versicolor"
"98","2:versicolor","2:versicolor"
"99","2:versicolor","2:versicolor"
"100","2:versicolor","2:versicolor"
"101","3:virginica","2:versicolor"
"102","3:virginica","2:versicolor"
"103","3:virginica","3:virginica"
"104","3:virginica","3:virginica"
"105","3:virginica","3:virginica"
"106","3:virginica","3:virginica"
"107","3:virginica","2:versicolor"
"108","3:virginica","3:virginica"
"109","3:virginica","3:virginica"
"110","3:virginica","3:virginica"
"111","3:virginica","3:virginica"
"112","3:virginica","3:virginica"
"113","3:virginica","3:virginica"
"114","3:virginica","2:versicolor"
"115","3:virginica","2:versicolor"
"116","3:virginica","3:virginica"
"117","3:virginica","3:virginica"
"118","3:virginica","3:virginica"
"119","3:virginica","3:virginica"
"120","3:virginica","2:versicolor"
"121","3:virginica","3:virginica"
"122","3:virginica","2:versicolor"
"123","3:virginica","3:virginica"
"124","3:virginica","3:virginica"
"125","3:virginica","3:virginica"
"126","3:virginica","3:virginica"
"127","3:virginica","2:versicolor"
"128","3:virginica","2:versicolor"
"129","3:virginica","3:virginica"
"130","3:virginica","3:virginica"
"131","3:virginica","3:virginica"
"132","3:virginica","3:virginica"
"133","3:virginica","3:virginica"
"134","3:virginica","3:virginica"
"135","3:virginica","2:versicolor"
"136","3:virginica","3:virginica"
"137","3:virginica","2:versicolor"
"138","3:virginica","3:virginica"
"139","3:virginica","2:versicolor"
"140","3:virginica","3:virginica"
"141","3:virginica","3:virginica"
"142","3:virginica","3:virginica"
"143","3:virginica","2:versicolor"
"144","3:virginica","3:virginica"
"145","3:virginica","3:virginica"
"146","3:virginica","3:virginica"
"147","3:virginica","3:virginica"
"148","3:virginica","3:virginica"
"149","3:virginica","2:versicolor"
"150","3:virginica","2:versicolor"
