"id","true","output"
1,2,2
2,1,1
3,2,2
4,1,1
5,2,2
6,1,1
7,2,2
8,1,1
9,2,2
10,1,1
11,2,2
12,1,1
13,2,2
14,1,2
15,2,2
16,1,1
17,2,2
18,1,1
19,2,2
20,1,1
21,2,2
22,1,1
23,2,2
24,1,1
25,2,2
26,1,1
27,2,2
28,1,1
29,2,2
30,1,1
31,2,2
32,1,1
33,2,2
34,1,2
35,2,2
36,1,1
37,2,2
38,1,1
39,2,2
40,1,2
41,2,2
42,1,1
43,2,2
44,1,2
45,2,2
46,1,1
47,2,2
48,1,1
49,2,2
50,1,1
51,2,1
52,1,1
53,2,2
54,1,1
55,2,2
56,1,1
57,2,2
58,1,1
59,2,2
60,1,1
61,2,2
62,1,1
63,2,2
64,1,2
65,2,2
66,1,1
67,2,2
68,1,1
69,2,2
70,1,2
71,2,2
72,1,1
73,2,2
74,1,1
75,2,2
76,1,1
77,2,2
78,1,1
79,2,2
80,1,1
81,2,2
82,1,2
83,2,2
84,1,2
85,2,1
86,1,2
87,2,2
88,1,2
89,2,1
90,1,1
91,2,2
92,1,1
93,2,1
94,1,1
95,2,1
96,1,2
97,2,2
98,2,2
99,1,2
100,2,2
101,1,2
102,2,2
103,1,1
104,2,2
105,1,1
106,2,2
107,1,1
108,2,2
109,1,1
110,2,2
111,1,1
112,2,2
113,1,1
114,2,2
115,1,2
116,2,1
117,1,2
118,2,2
119,1,1
120,2,2
121,1,1
122,2,1
123,1,1
124,2,1
125,1,2
126,2,2
127,1,2
128,2,2
129,1,1
130,2,2
131,1,1
132,2,1
133,1,1
134,2,2
135,1,1
136,2,2
137,1,1
138,2,1
139,1,1
140,2,2
141,1,1
142,2,2
143,1,2
144,2,1
145,1,2
146,2,2
147,1,1
148,2,2
149,1,2
150,2,2
151,1,2
152,2,2
153,1,1
154,2,2
155,1,1
156,2,2
157,1,1
158,2,1
159,1,1
160,2,2
161,1,1
162,2,2
163,1,1
164,2,2
165,1,2
166,2,2
167,1,1
168,2,2
169,1,1
170,2,2
171,1,1
172,2,2
173,1,1
174,2,2
175,1,2
176,2,2
177,1,1
178,2,2
179,1,1
180,2,2
181,1,1
182,2,2
183,1,1
184,2,2
185,1,1
186,2,2
187,1,1
188,2,2
189,1,1
190,2,2
191,1,1
192,2,1
193,1,1
194,2,2
195,1,1
196,2,2
197,1,1
198,2,2
199,1,1
200,2,2
201,1,1
202,2,2
203,1,2
204,2,2
205,1,1
206,2,2
207,1,1
208,2,2
209,1,1
210,2,2
211,1,1
212,2,2
213,1,1
214,2,2
215,1,1
216,2,2
217,1,2
218,2,2
219,1,1
220,2,2
221,1,1
222,2,2
223,1,1
224,2,2
225,1,1
226,2,2
227,1,1
228,2,2
229,1,1
230,2,2
231,1,1
232,2,2
233,1,1
234,2,2
235,1,1
236,2,2
237,1,2
238,2,2
239,1,1
240,2,2
241,1,1
242,2,2
243,1,1
244,2,2
245,1,2
246,2,2
247,1,1
248,2,2
249,1,1
250,2,2
251,1,1
252,2,2
253,1,1
254,2,2
255,2,2
256,2,2
257,2,2
258,2,2
259,2,2
260,2,2
261,2,2
262,2,2
263,2,2
264,2,2
265,2,2
266,2,2
267,2,2
268,2,2
269,2,2
270,2,2
271,2,2
272,2,1
273,2,2
274,2,2
275,2,2
276,2,2
277,2,2
278,2,1
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,1
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,1
292,2,2
293,2,2
294,2,2
295,2,2
296,2,2
297,2,2
298,2,2
299,2,2
300,2,2
301,2,2
302,2,2
303,2,2
304,2,2
305,2,2
306,2,2
307,2,2
308,2,2
309,2,2
310,2,2
311,2,2
312,2,2
313,2,2
314,2,2
315,2,2
316,2,2
317,2,2
318,2,2
319,2,2
320,2,2
321,2,2
322,2,2
323,2,2
324,2,1
325,2,2
326,2,2
327,2,2
328,2,2
329,2,2
330,2,2
331,2,2
332,2,2
333,2,2
334,2,2
335,2,2
336,2,2
337,2,2
338,2,2
339,2,2
340,2,2
341,2,2
342,2,2
343,2,2
344,2,1
345,2,2
346,2,2
347,2,2
348,2,2
349,2,2
350,2,2
351,2,2
