"id","true","output"
"1","7:grass","7:grass"
"2","7:grass","7:grass"
"3","7:grass","7:grass"
"4","7:grass","7:grass"
"5","7:grass","7:grass"
"6","7:grass","7:grass"
"7","7:grass","7:grass"
"8","7:grass","7:grass"
"9","7:grass","7:grass"
"10","7:grass","7:grass"
"11","7:grass","7:grass"
"12","7:grass","7:grass"
"13","7:grass","7:grass"
"14","7:grass","7:grass"
"15","7:grass","7:grass"
"16","7:grass","7:grass"
"17","7:grass","7:grass"
"18","7:grass","7:grass"
"19","7:grass","7:grass"
"20","7:grass","7:grass"
"21","7:grass","7:grass"
"22","2:sky","2:sky"
"23","2:sky","2:sky"
"24","2:sky","2:sky"
"25","2:sky","2:sky"
"26","2:sky","2:sky"
"27","2:sky","2:sky"
"28","2:sky","2:sky"
"29","2:sky","2:sky"
"30","2:sky","2:sky"
"31","2:sky","2:sky"
"32","2:sky","2:sky"
"33","2:sky","2:sky"
"34","2:sky","2:sky"
"35","2:sky","2:sky"
"36","2:sky","2:sky"
"37","2:sky","2:sky"
"38","2:sky","2:sky"
"39","2:sky","2:sky"
"40","2:sky","2:sky"
"41","2:sky","2:sky"
"42","2:sky","2:sky"
"43","2:sky","2:sky"
"44","6:path","6:path"
"45","6:path","6:path"
"46","6:path","6:path"
"47","6:path","6:path"
"48","6:path","6:path"
"49","6:path","6:path"
"50","6:path","6:path"
"51","6:path","6:path"
"52","6:path","6:path"
"53","6:path","6:path"
"54","6:path","6:path"
"55","6:path","6:path"
"56","6:path","6:path"
"57","6:path","6:path"
"58","6:path","6:path"
"59","6:path","6:path"
"60","6:path","6:path"
"61","6:path","6:path"
"62","6:path","6:path"
"63","6:path","6:path"
"64","6:path","6:path"
"65","6:path","6:path"
"66","6:path","6:path"
"67","6:path","6:path"
"68","4:cement","1:brickfac"
"69","4:cement","4:cement"
"70","4:cement","3:foliage"
"71","4:cement","4:cement"
"72","4:cement","4:cement"
"73","4:cement","5:window"
"74","4:cement","4:cement"
"75","4:cement","4:cement"
"76","4:cement","4:cement"
"77","4:cement","4:cement"
"78","4:cement","4:cement"
"79","4:cement","4:cement"
"80","4:cement","4:cement"
"81","4:cement","4:cement"
"82","4:cement","4:cement"
"83","4:cement","4:cement"
"84","4:cement","4:cement"
"85","4:cement","4:cement"
"86","4:cement","4:cement"
"87","4:cement","4:cement"
"88","4:cement","4:cement"
"89","4:cement","4:cement"
"90","3:foliage","5:window"
"91","3:foliage","1:brickfac"
"92","3:foliage","5:window"
"93","3:foliage","5:window"
"94","3:foliage","5:window"
"95","3:foliage","4:cement"
"96","3:foliage","5:window"
"97","3:foliage","5:window"
"98","3:foliage","5:window"
"99","3:foliage","5:window"
"100","3:foliage","5:window"
"101","3:foliage","5:window"
"102","3:foliage","5:window"
"103","3:foliage","5:window"
"104","3:foliage","5:window"
"105","3:foliage","5:window"
"106","3:foliage","3:foliage"
"107","3:foliage","5:window"
"108","3:foliage","5:window"
"109","3:foliage","5:window"
"110","3:foliage","5:window"
"111","1:brickfac","1:brickfac"
"112","1:brickfac","1:brickfac"
"113","1:brickfac","1:brickfac"
"114","1:brickfac","1:brickfac"
"115","1:brickfac","1:brickfac"
"116","1:brickfac","1:brickfac"
"117","1:brickfac","1:brickfac"
"118","1:brickfac","1:brickfac"
"119","1:brickfac","1:brickfac"
"120","1:brickfac","1:brickfac"
"121","1:brickfac","1:brickfac"
"122","1:brickfac","1:brickfac"
"123","1:brickfac","1:brickfac"
"124","1:brickfac","1:brickfac"
"125","1:brickfac","1:brickfac"
"126","1:brickfac","1:brickfac"
"127","1:brickfac","1:brickfac"
"128","1:brickfac","1:brickfac"
"129","1:brickfac","1:brickfac"
"130","1:brickfac","1:brickfac"
"131","5:window","5:window"
"132","5:window","5:window"
"133","5:window","5:window"
"134","5:window","5:window"
"135","5:window","5:window"
"136","5:window","5:window"
"137","5:window","5:window"
"138","5:window","5:window"
"139","5:window","5:window"
"140","5:window","4:cement"
"141","5:window","5:window"
"142","5:window","3:foliage"
"143","5:window","5:window"
"144","5:window","5:window"
"145","5:window","5:window"
"146","5:window","5:window"
"147","5:window","5:window"
"148","5:window","5:window"
"149","5:window","5:window"
"150","5:window","1:brickfac"
"151","7:grass","7:grass"
"152","7:grass","7:grass"
"153","7:grass","7:grass"
"154","7:grass","7:grass"
"155","7:grass","7:grass"
"156","7:grass","7:grass"
"157","7:grass","7:grass"
"158","7:grass","7:grass"
"159","7:grass","7:grass"
"160","7:grass","7:grass"
"161","7:grass","7:grass"
"162","7:grass","7:grass"
"163","7:grass","7:grass"
"164","7:grass","7:grass"
"165","7:grass","7:grass"
"166","7:grass","7:grass"
"167","7:grass","7:grass"
"168","7:grass","7:grass"
"169","7:grass","7:grass"
"170","7:grass","7:grass"
"171","7:grass","7:grass"
"172","2:sky","2:sky"
"173","2:sky","2:sky"
"174","2:sky","2:sky"
"175","2:sky","2:sky"
"176","2:sky","2:sky"
"177","2:sky","2:sky"
"178","2:sky","2:sky"
"179","2:sky","2:sky"
"180","2:sky","2:sky"
"181","2:sky","2:sky"
"182","2:sky","2:sky"
"183","2:sky","2:sky"
"184","2:sky","2:sky"
"185","2:sky","2:sky"
"186","2:sky","2:sky"
"187","2:sky","2:sky"
"188","2:sky","2:sky"
"189","2:sky","2:sky"
"190","2:sky","2:sky"
"191","2:sky","2:sky"
"192","2:sky","2:sky"
"193","2:sky","2:sky"
"194","6:path","6:path"
"195","6:path","6:path"
"196","6:path","6:path"
"197","6:path","6:path"
"198","6:path","6:path"
"199","6:path","6:path"
"200","6:path","6:path"
"201","6:path","6:path"
"202","6:path","6:path"
"203","6:path","6:path"
"204","6:path","6:path"
"205","6:path","6:path"
"206","6:path","6:path"
"207","6:path","6:path"
"208","6:path","6:path"
"209","6:path","6:path"
"210","6:path","6:path"
"211","6:path","6:path"
"212","6:path","6:path"
"213","6:path","6:path"
"214","6:path","6:path"
"215","6:path","6:path"
"216","6:path","6:path"
"217","6:path","6:path"
"218","4:cement","4:cement"
"219","4:cement","4:cement"
"220","4:cement","4:cement"
"221","4:cement","4:cement"
"222","4:cement","4:cement"
"223","4:cement","4:cement"
"224","4:cement","4:cement"
"225","4:cement","4:cement"
"226","4:cement","4:cement"
"227","4:cement","4:cement"
"228","4:cement","4:cement"
"229","4:cement","1:brickfac"
"230","4:cement","1:brickfac"
"231","4:cement","4:cement"
"232","4:cement","4:cement"
"233","4:cement","4:cement"
"234","4:cement","4:cement"
"235","4:cement","4:cement"
"236","4:cement","6:path"
"237","4:cement","4:cement"
"238","4:cement","4:cement"
"239","4:cement","4:cement"
"240","3:foliage","5:window"
"241","3:foliage","5:window"
"242","3:foliage","5:window"
"243","3:foliage","5:window"
"244","3:foliage","5:window"
"245","3:foliage","5:window"
"246","3:foliage","5:window"
"247","3:foliage","4:cement"
"248","3:foliage","5:window"
"249","3:foliage","5:window"
"250","3:foliage","5:window"
"251","3:foliage","5:window"
"252","3:foliage","1:brickfac"
"253","3:foliage","5:window"
"254","3:foliage","3:foliage"
"255","3:foliage","5:window"
"256","3:foliage","5:window"
"257","3:foliage","5:window"
"258","3:foliage","5:window"
"259","3:foliage","5:window"
"260","1:brickfac","1:brickfac"
"261","1:brickfac","1:brickfac"
"262","1:brickfac","1:brickfac"
"263","1:brickfac","1:brickfac"
"264","1:brickfac","1:brickfac"
"265","1:brickfac","1:brickfac"
"266","1:brickfac","1:brickfac"
"267","1:brickfac","1:brickfac"
"268","1:brickfac","1:brickfac"
"269","1:brickfac","1:brickfac"
"270","1:brickfac","1:brickfac"
"271","1:brickfac","1:brickfac"
"272","1:brickfac","1:brickfac"
"273","1:brickfac","1:brickfac"
"274","1:brickfac","1:brickfac"
"275","1:brickfac","1:brickfac"
"276","1:brickfac","1:brickfac"
"277","1:brickfac","1:brickfac"
"278","1:brickfac","1:brickfac"
"279","1:brickfac","1:brickfac"
"280","1:brickfac","1:brickfac"
"281","5:window","5:window"
"282","5:window","4:cement"
"283","5:window","1:brickfac"
"284","5:window","5:window"
"285","5:window","5:window"
"286","5:window","5:window"
"287","5:window","5:window"
"288","5:window","5:window"
"289","5:window","5:window"
"290","5:window","5:window"
"291","5:window","1:brickfac"
"292","5:window","1:brickfac"
"293","5:window","1:brickfac"
"294","5:window","5:window"
"295","5:window","4:cement"
"296","5:window","5:window"
"297","5:window","1:brickfac"
"298","5:window","4:cement"
"299","5:window","1:brickfac"
"300","5:window","5:window"
"301","7:grass","7:grass"
"302","7:grass","7:grass"
"303","7:grass","7:grass"
"304","7:grass","7:grass"
"305","7:grass","7:grass"
"306","7:grass","7:grass"
"307","7:grass","7:grass"
"308","7:grass","7:grass"
"309","7:grass","7:grass"
"310","7:grass","7:grass"
"311","7:grass","7:grass"
"312","7:grass","7:grass"
"313","7:grass","7:grass"
"314","7:grass","7:grass"
"315","7:grass","7:grass"
"316","7:grass","7:grass"
"317","7:grass","7:grass"
"318","7:grass","5:window"
"319","7:grass","7:grass"
"320","7:grass","7:grass"
"321","7:grass","7:grass"
"322","2:sky","2:sky"
"323","2:sky","2:sky"
"324","2:sky","2:sky"
"325","2:sky","2:sky"
"326","2:sky","2:sky"
"327","2:sky","2:sky"
"328","2:sky","2:sky"
"329","2:sky","2:sky"
"330","2:sky","2:sky"
"331","2:sky","2:sky"
"332","2:sky","2:sky"
