"id","true","output"
"1","8:Receptor","4:In-Vitro"
"2","5:Molecula","5:Molecula"
"3","7:Prognosi","7:Prognosi"
"4","8:Receptor","3:DNA"
"5","9:Risk-Fac","9:Risk-Fac"
"6","8:Receptor","8:Receptor"
"7","9:Risk-Fac","9:Risk-Fac"
"8","4:In-Vitro","1:Antibodi"
"9","4:In-Vitro","1:Antibodi"
"10","2:Carcinom","2:Carcinom"
"11","6:Pregnanc","6:Pregnanc"
"12","1:Antibodi","1:Antibodi"
"13","6:Pregnanc","1:Antibodi"
"14","5:Molecula","5:Molecula"
"15","2:Carcinom","7:Prognosi"
"16","2:Carcinom","2:Carcinom"
"17","10:Tomogra","2:Carcinom"
"18","7:Prognosi","6:Pregnanc"
"19","9:Risk-Fac","9:Risk-Fac"
"20","9:Risk-Fac","8:Receptor"
"21","9:Risk-Fac","10:Tomogra"
"22","5:Molecula","5:Molecula"
"23","9:Risk-Fac","9:Risk-Fac"
"24","6:Pregnanc","9:Risk-Fac"
"25","2:Carcinom","2:Carcinom"
"26","10:Tomogra","10:Tomogra"
"27","4:In-Vitro","1:Antibodi"
"28","7:Prognosi","2:Carcinom"
"29","10:Tomogra","10:Tomogra"
"30","9:Risk-Fac","9:Risk-Fac"
"31","7:Prognosi","2:Carcinom"
"32","5:Molecula","5:Molecula"
"33","6:Pregnanc","6:Pregnanc"
"34","7:Prognosi","9:Risk-Fac"
"35","10:Tomogra","10:Tomogra"
"36","1:Antibodi","1:Antibodi"
"37","3:DNA","3:DNA"
"38","6:Pregnanc","6:Pregnanc"
"39","9:Risk-Fac","9:Risk-Fac"
"40","3:DNA","9:Risk-Fac"
"41","4:In-Vitro","3:DNA"
"42","5:Molecula","1:Antibodi"
"43","3:DNA","3:DNA"
"44","8:Receptor","4:In-Vitro"
"45","5:Molecula","5:Molecula"
"46","7:Prognosi","4:In-Vitro"
"47","10:Tomogra","10:Tomogra"
"48","7:Prognosi","9:Risk-Fac"
"49","1:Antibodi","1:Antibodi"
"50","9:Risk-Fac","9:Risk-Fac"
"51","5:Molecula","5:Molecula"
"52","6:Pregnanc","4:In-Vitro"
"53","5:Molecula","5:Molecula"
"54","9:Risk-Fac","1:Antibodi"
"55","1:Antibodi","1:Antibodi"
"56","6:Pregnanc","3:DNA"
"57","8:Receptor","8:Receptor"
"58","4:In-Vitro","7:Prognosi"
"59","9:Risk-Fac","9:Risk-Fac"
"60","8:Receptor","4:In-Vitro"
"61","10:Tomogra","10:Tomogra"
"62","9:Risk-Fac","7:Prognosi"
