"id","true","output"
1,"C1","C3"
2,"C1","C1"
3,"C1","C1"
4,"C1","C2"
5,"C1","C3"
6,"C1","C1"
7,"C1","C2"
8,"C1","C1"
9,"C1","C2"
10,"C1","C1"
11,"C1","C1"
12,"C1","C1"
13,"C1","C1"
14,"C1","C1"
15,"C1","C1"
16,"C1","C3"
17,"C1","C1"
18,"C1","C1"
19,"C1","C2"
20,"C1","C2"
21,"C1","C1"
22,"C1","C1"
23,"C1","C3"
24,"C1","C1"
25,"C1","C1"
26,"C1","C1"
27,"C1","C1"
28,"C1","C1"
29,"C1","C1"
30,"C1","C1"
31,"C1","C1"
32,"C1","C3"
33,"C1","C1"
34,"C1","C1"
35,"C1","C3"
36,"C1","C1"
37,"C1","C3"
38,"C1","C1"
39,"C1","C1"
40,"C1","C1"
41,"C1","C2"
42,"C1","C1"
43,"C1","C2"
44,"C1","C1"
45,"C1","C1"
46,"C1","C1"
47,"C1","C1"
48,"C1","C3"
49,"C1","C1"
50,"C1","C2"
51,"C1","C1"
52,"C1","C1"
53,"C1","C1"
54,"C1","C1"
55,"C1","C1"
56,"C1","C3"
57,"C1","C1"
58,"C1","C1"
59,"C1","C1"
60,"C1","C1"
61,"C1","C1"
62,"C1","C1"
63,"C1","C1"
64,"C1","C2"
65,"C1","C1"
66,"C1","C1"
67,"C1","C1"
68,"C1","C1"
69,"C1","C1"
70,"C1","C2"
71,"C1","C2"
72,"C1","C1"
73,"C1","C2"
74,"C1","C2"
75,"C1","C1"
76,"C1","C1"
77,"C1","C3"
78,"C1","C1"
79,"C1","C2"
80,"C1","C2"
81,"C1","C1"
82,"C1","C1"
83,"C1","C1"
84,"C1","C2"
85,"C1","C2"
86,"C1","C2"
87,"C1","C1"
88,"C1","C2"
89,"C1","C1"
90,"C1","C3"
91,"C1","C2"
92,"C1","C1"
93,"C1","C2"
94,"C1","C1"
95,"C1","C1"
96,"C1","C1"
97,"C1","C1"
98,"C1","C1"
99,"C1","C1"
100,"C1","C3"
101,"C1","C2"
102,"C1","C2"
103,"C1","C2"
104,"C1","C3"
105,"C1","C1"
106,"C1","C1"
107,"C1","C3"
108,"C1","C3"
109,"C1","C2"
110,"C1","C3"
111,"C1","C2"
112,"C1","C1"
113,"C1","C1"
114,"C1","C2"
115,"C1","C3"
116,"C1","C2"
117,"C1","C3"
118,"C1","C1"
119,"C1","C2"
120,"C1","C2"
121,"C1","C1"
122,"C1","C2"
123,"C1","C3"
124,"C1","C1"
125,"C1","C2"
126,"C1","C1"
127,"C1","C1"
128,"C1","C2"
129,"C1","C2"
130,"C1","C1"
131,"C1","C2"
132,"C1","C1"
133,"C1","C3"
134,"C1","C1"
135,"C1","C2"
136,"C1","C3"
137,"C1","C1"
138,"C1","C3"
139,"C1","C1"
140,"C1","C1"
141,"C1","C1"
142,"C1","C3"
143,"C1","C1"
144,"C1","C1"
145,"C1","C3"
146,"C1","C3"
147,"C1","C1"
148,"C1","C3"
149,"C1","C1"
150,"C1","C1"
151,"C1","C3"
152,"C1","C1"
153,"C1","C1"
154,"C1","C2"
155,"C1","C2"
156,"C1","C1"
157,"C1","C2"
158,"C1","C1"
159,"C1","C2"
160,"C1","C3"
161,"C1","C1"
162,"C1","C2"
163,"C1","C2"
164,"C1","C1"
165,"C1","C1"
166,"C1","C1"
167,"C1","C2"
168,"C1","C3"
169,"C1","C2"
